BrandName,ModelGroup,ModelDescription,kModelMasterID,ModelNum,MFGModelNum,Summed_Sales,PartMFG,kInventoryID,kManufactureID,PartNum,Description,LongDescription,PartType,MIN_ImageOrder,Has_Image,SubbedPartNumbers,competitornumbers,reqManufactureID,reqMfgModelNum
Frigidaire,Refrigerator,Refrigerator,238541,GLHS280ZAW4                   ,,17353,Frigidaire,429843,4,240334002         ,MOTOR-CONDENSER FAN,,,1.0,1,,"PS429843,EAP429843,FIX429843,,FRG429843,AP2115841",0,0
Frigidaire,Refrigerator,Refrigerator,331437,FRS6HR35KW2,,16021,Frigidaire,1532385,4,5304455677        ,SCREW,,,1.0,1,,"PS1532385,EAP1532385,FIX1532385,,FRG1532385,AP3969583",0,0
General Electric,Dryer,Dryer,900592,PBVH415EH1WW,,30095,GE,1022382,2,WE2M212           ,SCREW HINGE TO FRONT,,,1.0,1,,"PS1022382,EAP1022382,FIX1022382,",0,0
Frigidaire,Refrigerator,Refrigerator,92574,FRS26BRDSB3                   ,,18196,Frigidaire,428553,4,218721500         ,BRACKET-LEVELING,,,1.0,1,"215168400,5304456686,5304469376,75304456686,PS1532739,EAP1532739,FIX1532739,FRG1532739,PS2337028,EAP2337028,FIX2337028,FRG2337028,PS2349816,EAP2349816,FIX2349816,FRG2349816,PS422190,EAP422190,FIX422190,FRG422190,","PS428553,EAP428553,FIX428553,,FRG428553,",0,0
General Electric,Dryer,Dryer,891210,PCCB330GJ2WC,,37212,GE,2344321,2,WE4M415,Door Switch,A door switch is a simple on/off mechanism that prohibits the dryer from operating when the door is open.,Switch,1.0,1,"PS1016190,EAP1016190,FIX1016190,FRG1016190,PS1020315,EAP1020315,FIX1020315,FRG1020315,PS1482245,EAP1482245,FIX1482245,FRG1482245,PS264880,EAP264880,FIX264880,FRG264880,PS264899,EAP264899,FIX264899,FRG264899,PS267891,EAP267891,FIX267891,FRG267891,PS267910,EAP267910,FIX267910,FRG267910,WE04M0126,WE04M0157,WE4M126,WE4M157,WE4M335,WE4M337,WE4M349,","PS2344321,EAP2344321,FIX2344321,AP4366862",0,0
Frigidaire,Refrigerator,Refrigerator,41235,GLHS68EGSB6                   ,,18081,Frigidaire,2361217,4,240351240,Refrigerator Lower Crisper Drawer,Crisper drawer stores fruits and vegetables at a humidity level that helps keep them fresh longer.,Drawer or Glides,1.0,1,"240351205,240351210,240351211,240351212,240351215,240351217,240351218,240351219,240351221,240351223,240351224,240351225,240351229,240351230,240351231,240351233,240351234,240351235,240351236,240351237,240351241,7240351225,PS1144965,EAP1144965,FIX1144965,FRG1144965,PS1525973,EAP1525973,FIX1525973,FRG1525973,PS1525974,EAP1525974,FIX1525974,FRG1525974,PS1991018,EAP1991018,FIX1991018,FRG1991018,PS1991019,EAP1991019,FIX1991019,FRG1991019,PS1991020,EAP1991020,FIX1991020,FRG1991020,PS2331356,EAP2331356,FIX2331356,FRG2331356,PS2331357,EAP2331357,FIX2331357,FRG2331357,PS2334867,EAP2334867,FIX2334867,FRG2334867,PS2361218,EAP2361218,FIX2361218,FRG2361218,PS430020,EAP430020,FIX430020,FRG430020,PS430024,EAP430024,FIX430024,FRG430024,PS430025,EAP430025,FIX430025,FRG430025,PS649201,EAP649201,FIX649201,FRG649201,PS735728,EAP735728,FIX735728,FRG735728,PS817517,EAP817517,FIX817517,FRG817517,PS817518,EAP817518,FIX817518,FRG817518,PS899306,EAP899306,FIX899306,FRG899306,PS899308,EAP899308,FIX899308,FRG899308,PS899309,EAP899309,FIX899309,FRG899309,PS976474,EAP976474,FIX976474,FRG976474,PS976475,EAP976475,FIX976475,FRG976475,","PS2361217,EAP2361217,FIX2361217,,FRG2361217,AP4393891",0,0
Frigidaire,Refrigerator,Refrigerator,331560,FRS26KF6EBJ,,17177,Frigidaire,1532719,4,5304456666        ,SCREW,,,,0,"75304456666,PS2337008,EAP2337008,FIX2337008,FRG2337008,","PS1532719,EAP1532719,FIX1532719,,FRG1532719,AP3960734",0,0
General Electric,Dryer,Dryer,890505,PBXR465GH2WW,,38465,GE,267529,2,WE25M40           ,Rear Drum Bearing Kit,"This rear drum bearing kit comes with a shaft, bearing and installation instructions. The bearing plate comes with a slot in it for the ground strap.  Helps keep your dryer running as smoothly as possible with as little noise as possible. NOTE: Bearing plate has slot in it for ground strap.",Bearing,1.0,1,"PS264672,EAP264672,FIX264672,FRG264672,PS264824,EAP264824,FIX264824,FRG264824,PS264832,EAP264832,FIX264832,FRG264832,PS264838,EAP264838,FIX264838,FRG264838,PS265625,EAP265625,FIX265625,FRG265625,PS265631,EAP265631,FIX265631,FRG265631,PS267003,EAP267003,FIX267003,FRG267003,PS267004,EAP267004,FIX267004,FRG267004,PS267523,EAP267523,FIX267523,FRG267523,PS267546,EAP267546,FIX267546,FRG267546,PS267583,EAP267583,FIX267583,FRG267583,PS267584,EAP267584,FIX267584,FRG267584,PS267585,EAP267585,FIX267585,FRG267585,PS267602,EAP267602,FIX267602,FRG267602,PS267603,EAP267603,FIX267603,FRG267603,PS267687,EAP267687,FIX267687,FRG267687,PS267688,EAP267688,FIX267688,FRG267688,PS267831,EAP267831,FIX267831,FRG267831,PS267838,EAP267838,FIX267838,FRG267838,PS267839,EAP267839,FIX267839,FRG267839,PS267841,EAP267841,FIX267841,FRG267841,PS267842,EAP267842,FIX267842,FRG267842,PS267843,EAP267843,FIX267843,FRG267843,PS267844,EAP267844,FIX267844,FRG267844,PS267847,EAP267847,FIX267847,FRG267847,PS267854,EAP267854,FIX267854,FRG267854,PS748461,EAP748461,FIX748461,FRG748461,PS748476,EAP748476,FIX748476,FRG748476,PS748478,EAP748478,FIX748478,FRG748478,PS748480,EAP748480,FIX748480,FRG748480,PS748483,EAP748483,FIX748483,FRG748483,PS748486,EAP748486,FIX748486,FRG748486,PS748487,EAP748487,FIX748487,FRG748487,PS748796,EAP748796,FIX748796,FRG748796,PS748800,EAP748800,FIX748800,FRG748800,PS748930,EAP748930,FIX748930,FRG748930,PS748931,EAP748931,FIX748931,FRG748931,WE01X0462,WE01X0463,WE02X0195,WE03M0015,WE03M0065,WE03X0022,WE03X0028,WE03X0031,WE03X0035,WE03X0036,WE03X0039,WE03X0065,WE11X0056,WE11X0062,WE11X56,WE11X62,WE1X462,WE1X463,WE25M0040,WE25X0062,WE25X0205,WE25X205,WE25X205E,WE25X205R,WE25X62,WE25X62R,WE2X195,WE2X195D,WE3M15,WE3M65,WE3X22,WE3X28,WE3X31,WE3X35,WE3X36,WE3X39,WE3X65,","PS267529,EAP267529,FIX267529,AP2619300",0,0
Frigidaire,Refrigerator,Refrigerator,206391,FRS26HF5AQ2                   ,,16734,Frigidaire,2379388,4,5303918455,Hinge Kit - Left and Right Hinges,This is the replacement hinge kit for your refrigerator. This kit contains both the left and right hinges. Each hinge is made mainly of metal and plastic and is approximately 3 inches by 3 inches. This hinge kit does not contain the mounting hardware. The adjustable hinge kit supports the refrigerator and freezer doors and allows the doors to pivot open. The hinge kit also makes it easy to level the doors. This kit is a genuine OEM part sourced directly from the manufacturer.,Hinge,1.0,1,"240419101,240419102,240419103,240419104,240456901,240456902,240456903,240456904,240456905,240456906,240537101,240537102,240537103,240537104,240537105,240537106,241603607,241603701,241603702,241603703,241603704,241796101,241796102,241813601,241813602,5303918433,5304457964,7241813601,7241813602,PS1526181,EAP1526181,FIX1526181,FRG1526181,PS1526183,EAP1526183,FIX1526183,FRG1526183,PS1526184,EAP1526184,FIX1526184,FRG1526184,PS1532968,EAP1532968,FIX1532968,FRG1532968,PS17174855,EAP17174855,FIX17174855,FRG17174855,PS2331708,EAP2331708,FIX2331708,FRG2331708,PS2331709,EAP2331709,FIX2331709,FRG2331709,PS2331735,EAP2331735,FIX2331735,FRG2331735,PS2331736,EAP2331736,FIX2331736,FRG2331736,PS2335295,EAP2335295,FIX2335295,FRG2335295,PS2335296,EAP2335296,FIX2335296,FRG2335296,PS2364254,EAP2364254,FIX2364254,FRG2364254,PS430535,EAP430535,FIX430535,FRG430535,PS430536,EAP430536,FIX430536,FRG430536,PS430537,EAP430537,FIX430537,FRG430537,PS430538,EAP430538,FIX430538,FRG430538,PS430808,EAP430808,FIX430808,FRG430808,PS430809,EAP430809,FIX430809,FRG430809,PS430810,EAP430810,FIX430810,FRG430810,PS430811,EAP430811,FIX430811,FRG430811,PS430812,EAP430812,FIX430812,FRG430812,PS430813,EAP430813,FIX430813,FRG430813,PS648988,EAP648988,FIX648988,FRG648988,PS648989,EAP648989,FIX648989,FRG648989,PS648990,EAP648990,FIX648990,FRG648990,PS648991,EAP648991,FIX648991,FRG648991,PS648992,EAP648992,FIX648992,FRG648992,PS648993,EAP648993,FIX648993,FRG648993,PS977163,EAP977163,FIX977163,FRG977163,PS977164,EAP977164,FIX977164,FRG977164,","PS2379388,EAP2379388,FIX2379388,,FRG2379388,AP4510894",0,0
General Electric,Dryer,Dryer,900762,GNSR465GB0WW,,41766,GE,268031,2,WE4X448           ,Heat Detector,Also known as Flame Sensor/Detector.,Sensor,1.0,1,"PS264994,EAP264994,FIX264994,FRG264994,WE04X0448,","PS268031,EAP268031,FIX268031,AP2042635",0,0
